date,pm25,pm10,o3,no2,so2,co
2021/11/1,44,21,17,9,2,3
2021/11/2,55,18,15,9,2,3
2021/11/3,55,19,21,6,2,4
2021/11/4,47,33,32,5,2,5
2021/11/5,79,15,22,5,3,4
2021/11/6,45,16,19,4,2,2
2021/11/7,39,36,18,4,5,2
2021/11/8,71,34,22,5,2,2
2021/11/9,80,36,29,7,3,3
2021/11/10,85,51,13,11,2,4
2021/11/11,109,50,27,8,3,4
2021/11/12,108,57,19,10,3,4
2021/11/13,127,82,16,13,3,7
2021/11/14,166,78,10,12,2,8
2021/11/15,169,49,20,7,2,6
2021/11/16,123,54,32,10,2,5
2021/11/17,126,42,13,7,2,5
2021/11/18,105,50,14,9,2,6
2021/11/19,124,53,10,10,2,6
2021/11/20,134,29,17,5,2,2
2021/11/21,69,19,21,5,2,2
2021/11/22,40,30,24,6,2,3
2021/11/23,62,40,24,8,3,3
2021/11/24,79,53,21,12,3,5
2021/11/25,117,52,16,9,2,4
2021/11/26,124,62,19,12,2,6
2021/11/27,152,45,11,10,2,6
2021/11/28,115,30,17,6,2,5
2021/11/29,84,19,11,4,3,3
2021/11/30,61,,,,,
2021/10/1,90,38,42,5,4,6
2021/10/2,88,38,53,5,4,5
2021/10/3,91,23,21,4,4,5
2021/10/4,58,9,22,5,,3
2021/10/5,21,12,18,7,4,2
2021/10/6,31,20,25,7,4,3
2021/10/7,49,21,14,12,4,4
2021/10/8,50,11,13,10,,4
2021/10/9,30,5,18,5,3,2
2021/10/10,13,13,25,5,3,1
2021/10/11,34,37,15,12,4,3
2021/10/12,87,31,15,10,4,4
2021/10/13,82,19,16,8,,3
2021/10/14,50,17,18,9,,1
2021/10/15,34,18,15,7,,1
2021/10/16,39,13,22,7,3,1
2021/10/17,35,16,15,9,3,2
2021/10/18,49,16,18,9,3,3
2021/10/19,48,6,17,7,,2
2021/10/20,28,6,12,6,3,2
2021/10/21,14,14,17,10,4,2
2021/10/22,37,20,24,7,4,2
2021/10/23,58,21,19,9,4,4
2021/10/24,63,32,45,9,7,3
2021/10/25,83,10,28,5,9,3
2021/10/26,34,13,19,8,5,2
2021/10/27,41,15,19,8,6,3
2021/10/28,46,16,25,7,5,4
2021/10/29,43,35,17,14,5,5
2021/10/30,80,14,16,6,6,3
2021/10/31,41,16,13,9,3,3
2021/9/1,40,19,34,1,3,3
2021/9/2,42,25,32,4,,5
2021/9/3,57,14,26,1,,3
2021/9/4,28,24,33,2,3,3
2021/9/5,48,8,25,2,3,3
2021/9/6,12,12,36,4,3,3
2021/9/7,27,22,34,5,3,4
2021/9/8,55,21,38,3,3,3
2021/9/9,49,31,46,6,3,3
2021/9/10,67,27,25,12,3,5
2021/9/11,67,24,27,3,3,4
2021/9/12,61,23,29,5,3,4
2021/9/13,56,19,28,5,3,4
2021/9/14,45,14,25,4,3,4
2021/9/15,35,9,21,3,3,3
2021/9/16,18,12,15,6,3,3
2021/9/17,24,11,17,5,,3
2021/9/18,21,10,39,4,3,3
2021/9/19,17,17,50,5,3,4
2021/9/20,43,26,53,5,4,4
2021/9/21,63,33,51,4,4,4
2021/9/22,82,25,28,4,3,5
2021/9/23,68,24,31,5,3,4
2021/9/24,60,26,36,5,4,4
2021/9/25,62,11,23,4,3,4
2021/9/26,26,11,22,4,3,4
2021/9/27,27,19,33,5,3,4
2021/9/28,44,23,43,5,4,4
2021/9/29,56,33,43,9,4,5
2021/9/30,73,41,42,7,4,6
2021/8/1,54,23,90,4,4,2
2021/8/2,59,31,95,4,4,3
2021/8/3,71,34,96,4,4,3
2021/8/4,84,17,42,3,3,3
2021/8/5,48,19,57,1,4,2
2021/8/6,51,20,29,3,3,3
2021/8/7,54,20,19,4,3,2
2021/8/8,55,20,47,3,4,2
2021/8/9,47,23,37,3,4,2
2021/8/10,52,16,24,2,4,2
2021/8/11,43,14,19,1,3,2
2021/8/12,36,8,30,2,3,4
2021/8/13,18,27,31,4,4,4
2021/8/14,70,26,40,4,4,4
2021/8/15,58,13,25,4,4,4
2021/8/16,31,17,18,4,4,4
2021/8/17,37,8,22,4,4,4
2021/8/18,17,17,33,2,4,3
2021/8/19,36,14,30,2,4,3
2021/8/20,34,22,41,2,4,3
2021/8/21,51,12,31,2,4,3
2021/8/22,29,12,38,3,4,2
2021/8/23,24,22,44,3,4,3
2021/8/24,52,18,32,3,4,
2021/8/25,46,9,27,2,4,3
2021/8/26,23,11,33,2,4,3
2021/8/27,26,12,28,5,4,3
2021/8/28,31,12,27,4,4,3
2021/8/29,23,21,27,3,4,4
2021/8/30,53,15,9,3,2,3
2021/8/31,39,19,26,3,3,3
2021/7/1,56,22,43,7,4,1
2021/7/2,53,13,43,4,3,1
2021/7/3,30,15,37,6,4,1
2021/7/4,43,28,44,8,3,1
2021/7/5,69,31,39,9,3,2
2021/7/6,77,37,47,8,2,3
2021/7/7,85,8,23,1,2,1
2021/7/8,22,11,10,2,2,
2021/7/9,22,14,25,3,2,2
2021/7/10,29,17,36,3,2,2
2021/7/11,36,15,41,2,2,2
2021/7/12,40,21,56,2,3,3
2021/7/13,63,23,42,4,,3
2021/7/14,60,11,34,3,,2
2021/7/15,24,10,29,2,3,1
2021/7/16,24,16,41,6,3,2
2021/7/17,40,14,34,3,4,1
2021/7/18,29,22,57,4,3,2
2021/7/19,48,25,49,3,3,2
2021/7/20,63,23,59,3,3,2
2021/7/21,62,23,52,3,3,3
2021/7/22,57,28,54,3,3,3
2021/7/23,74,10,40,2,3,2
2021/7/24,26,18,49,3,3,3
2021/7/25,49,31,39,4,3,3
2021/7/26,70,16,23,1,3,1
2021/7/27,38,16,45,2,3,1
2021/7/28,35,20,64,3,4,2
2021/7/29,49,17,33,3,3,2
2021/7/30,46,13,62,3,4,2
2021/7/31,34,19,79,3,4,1
2021/6/1,74,27,48,5,3,2
2021/6/2,67,17,30,4,2,3
2021/6/3,36,30,41,8,3,3
2021/6/4,62,33,51,8,2,3
2021/6/5,67,32,33,9,3,3
2021/6/6,75,26,12,8,2,3
2021/6/7,66,17,45,6,3,2
2021/6/8,47,29,35,7,2,3
2021/6/9,76,28,55,6,3,3
2021/6/10,71,36,45,10,3,4
